name,long,lat,dis to an airport,range,airports 40km,airports 10km,schools 5km,schools 2km,veggies 500m,veggies 100m,party 1km,party 500m,starbucks 500m,starbucks 100m,final
Social Gaming Network,-122.161523,37.446823,22.57303678518392,20-50km,3,0,49,13,14,0,32,30,1,1,81.68045977011492
Udorse,-73.986951,40.756054,9.913364255749912,0-10km,3,1,93,22,3,0,26,9,12,0,71.83333333333334
Simulmedia,-73.99479699999998,40.727216,11.69810864461715,10-20km,3,0,84,35,2,0,26,8,5,1,71.1022988505747
Sofa Labs,-122.32292350000002,37.5646055,7.591815431959088,0-10km,2,1,42,21,22,6,26,25,1,0,71.02643678160919
Fixya,-122.323895,37.566879,7.339121613946017,0-10km,2,1,40,21,22,6,26,25,1,0,70.42643678160918
