Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Critical Media,https://angel.co/company/critical-media,5,Feb '12,New York City,Video,http://www.critical-media.com/,"",Series A,6200000
Ace Roster // فريقك,https://angel.co/company/ace-roster,5,Dec '13,New York City,Fantasy Sports,http://fariqak.com,1-10,Seed,82353
Lrn,https://angel.co/company/lrn,5,Jul '15,New York City,Mobile Games,http://lrnapp.com,1-10,"",""
LuckyDiem,https://angel.co/company/luckydiem,5,Apr '13,New York City,Loyalty Programs,http://LuckyDiem.com,1-10,"",""
Cellufun,https://angel.co/company/cellufun,5,Jan '12,New York City,Games,http://m.cellufun.com,"","",8020000
Budge,https://angel.co/company/budge,4,Aug '12,New York City,Mobile Games,http://www.thebudge.com,1-10,Seed,1020000
Personal Zen,https://angel.co/company/personal-zen,4,Mar '15,New York City,Mobile Games,http://www.personalzen.com/,1-10,"",""
eMusic,https://angel.co/company/emusic,4,Jan '12,New York City,Music,http://emusic.com,"","",""
LiveRe,https://angel.co/company/livere,4,Oct '13,New York City,Communications Infrastructure,http://www.livere.com/eng,1-10,Seed,25000
Happify,https://angel.co/company/happify,4,May '13,New York City,Quantified Self,http://happify.com,1-10,"",5000000
PuzzleSocial,https://angel.co/company/puzzlesocial,4,Aug '14,Manhattan,Games,http://www.puzzlesocial.com,"",Acquired,9700000
Skill in Games,https://angel.co/company/skill-in-games,4,Sep '12,New York City,Gambling,http://www.SkillinGames.com,1-10,"",""
Twochop,https://angel.co/company/twochop,4,Jan '12,New York City,Games,http://www.twochop.com,"",Seed,450000
Winafy,https://angel.co/company/winafy,4,Jan '14,New York City,Gambling,https://www.winafy.com,1-10,"",""
Tradesports.com,https://angel.co/company/tradesports-com,4,Jan '15,New York City,Market Research,http://www.tradesports.com,1-10,"",""
Keepskor,https://angel.co/company/keepskor,4,Oct '11,New York City,Mobile Advertising,http://keepskor.com,1-10,Acquired,250000
Voxiebox,https://angel.co/company/voxiebox,4,Mar '12,San Francisco,3D,http://voxiebox.com,1-10,"",""
Hip Chicas,https://angel.co/company/hip-chicas,4,Oct '10,New York City,US Hispanic Market,http://www.hipchicas.com,1-10,"",""
Game Trust,https://angel.co/company/game-trust,4,Aug '14,New York City,Games,http://gametrust.com,"",Series B,9000000
ThoroBid,https://angel.co/company/thorobid-1,4,Jan '14,New York City,Freemium,https://thorobid.com/,1-10,"",""
GUERILLAPPS,https://angel.co/company/guerillapps,4,Oct '13,New York City,Mobile Games,http://www.guerillapps.com,"","",500000
Marvel Entertainment,https://angel.co/company/marvel-entertainment,4,Jan '12,New York City,Graphics,http://www.marvel.com,"",Acquired,4000000000
Sojo Studios,https://angel.co/company/sojo-studios,4,Apr '14,New York City,Facebook Applications,http://www.sojostudios.com,"",Series A,12000000
FTW,https://angel.co/company/ftw,4,Feb '11,New York City,Mobile Games,http://www.ftw.co,"","",""
Boonty,https://angel.co/company/boonty,4,Jan '12,New York City,Video Games,http://www.boonty.net,"",Acquired,10000000
Players' Lounge,https://angel.co/company/players_lounge,4,Nov '15,New York City,eSports,https://www.playerslounge.co,11-50,"",2220000
MediaBrix,https://angel.co/company/mediabrix,4,Aug '15,New York City,Apps,http://mediabrix.com/,51-200,"",12000000
Rebel Monkey,https://angel.co/company/rebel-monkey,4,Dec '12,New York City,Games,http://rebelmonkey.com,"",Series A,1000000
DraftStreet,https://angel.co/company/draftstreet,4,Jan '12,New York City,Fantasy Sports,http://www.draftstreet.com,"","",33052000
Breakrs,https://angel.co/company/breakrs,4,Sep '12,New York City,Music Services,http://breakrs.com,1-10,"",""
Unlockable,https://angel.co/company/unlockable,4,May '13,New York City,Casual Games,http://www.unlockable.com,1-10,Seed,700000
Oberon Media,https://angel.co/company/oberon-media,4,Jan '12,New York City,Games,http://corp.oberon-media.com,"","",36000000
livecube,https://angel.co/company/livecube,4,Jan '15,New York City,Events,http://www.livecube.co,1-10,"",""
Moor Games,https://angel.co/company/moor-games,4,Sep '14,New York City,Mobile Games,http://www.moorgames.com,1-10,"",""
Turf Geography Club,https://angel.co/company/turf-geography-club,4,May '12,New York City,Mobile Games,"","","",""
Everything Butt Art,https://angel.co/company/everything-butt-art,4,Feb '12,New York City,iPad,http://everythingbuttart.com/,"","",""
Wisdom.ly,https://angel.co/company/wisdom-ly,4,Jun '13,New York City,Virtual Worlds,http://wisdom.ly/,1-10,"",""
Empire of Australia,https://angel.co/company/empire-of-australia,4,Oct '15,Portland,Entertainment Industry,https://www.empireofaustralia.com,1-10,"",""
Biddl,https://angel.co/company/biddl-1,4,Nov '15,Helsinki,Mobile Commerce,https://biddl.com,"",Seed,300000
GoPrezzo,https://angel.co/company/goprezzo,4,Jun '13,New York City,Mobile Advertising,http://www.goprezzo.com,1-10,Seed,1150000
Connected Ventures,https://angel.co/company/connected-ventures,4,Jun '12,New York City,Games,http://www.connectedventures.com,"","",""
CodeMonkey Studios,https://angel.co/company/codemonkey-studios,4,Feb '15,Tel Aviv-Yafo,Application Platforms,http://playcodemonkey.com,1-10,"",200000
Hitviews,https://angel.co/company/hitviews,4,Jun '14,New York City,Networking,http://Hitviews.COM,"",Seed,2285000
Chadwick,https://angel.co/company/chadwick,4,Nov '11,New York City,Fantasy Sports,http://bball-live.com/,"","",""
ConnectCubed,https://angel.co/company/connectcubed,4,Jun '12,New York City,Human Resources,http://www.ConnectCubed.com,1-10,"",""
YouGift,https://angel.co/company/yougift,4,Aug '11,New York City,Social Games,http://www.yougift.com,1-10,"",1200000
Medley,https://angel.co/company/medleyxyz,4,Nov '15,New York City,Personal Relationship Manager,http://www.medley.xyz,1-10,"",""
WireImage,https://angel.co/company/wireimage,4,Jan '12,New York City,Celebrity,http://www.wireimage.com,"",Acquired,217000000
Zodiac,https://angel.co/company/zodiacmetrics,4,Oct '15,Philadelphia,Mobile Games,http://www.zodiacmetrics.com,"",Seed,3000000
