name,long,lat
Oakland Megaplex,-122.1989308,37.7309657
Studio Grand Oakland,-122.2475295,37.81210009999999
The Sac,-122.2589893,37.7985385
Luxlife,-122.2709581,37.8018698
Hm,-122.2375117,37.7816475
FDI H.I. NATIONWIDE ALLIANCE,-122.2398636,37.8104485
Stork Club,-122.2683684,37.8131387
Era Art Bar & Lounge,-122.2663058,37.8113046
Lounge 3411,-122.2011748,37.7941249
Venue Oakland,-122.2704624,37.8041767
The Churchward Pub,-122.2415717,37.7658878
Somar Bar and Lounge,-122.270307,37.8073292
The Port Bar,-122.2682071,37.8095528
Mecca Shrine Club,-122.203449,37.738438
Laurel Lounge,-122.1976032,37.7907786
The Mayan,-118.2591999,34.0405483
Club Bahia,-118.2498753,34.0663088
Los Globos,-118.2743448,34.0839003
Los Angeles Club Crawl,-118.2528925,34.0451292
Exchange LA,-118.2513164,34.0453777
Panamerican Night Club (Oficial),-118.2749667,34.0726952
Mayan Theater,-118.2586837,34.0405971
Downtown LA Club Crawl,-118.2633476,34.0429319
The Reserve,-118.2519124,34.0447027
Aerial Nightclub,-118.2662099,34.032065
Arena Ktown,-118.2948845,34.0620233
The Marke,-118.2726394,34.0191519
Precinct DTLA,-118.2493321,34.0498149
The New Jalisco Bar,-118.2454215,34.0502685
Club LA,-118.2480196,34.0486119
LA 5 STAR CLUB CRAWL,-118.2884635,34.0938176
Treehouse Rooftop Lounge,-118.237726,34.05955
LA Grand Club Inc,-118.2614677,34.0419185
801 Hill Nightclub,-118.2560652,34.0443944
my house,-118.2436849,34.0522342
Carwash Nightclub,-0.1454575,51.5141641
Tramp,-0.1376973,51.5081631
Ma Dame London,-0.1888824,51.5182672
Notting Hill Arts Club,-0.1944351,51.509239
Chinawhite,-0.1382586,51.5159915
Libertine,-0.1383522,51.5160742
Tape London,-0.1437391,51.5135634
Toy Room Club,-0.1405556,51.5146867
The Mayfair Club,-0.1416101,51.5075923
Triangle Nightclub,-0.2403296,51.5329472
The Cuckoo Club,-0.1378974,51.5098549
Secrets 1 Hammersmith,-0.2313546,51.4945562
The Scotch of St James,-0.1370209,51.5077694
Luxx Club London,-0.1433494,51.5084714
151 Club,-0.1672473,51.48792659999999
LORDS LONDON,-0.1516042,51.5149706
Villa Country,-0.2447018,51.536423
New Churchills Nightclub,-0.1398224,51.50827229999999
Mode,-0.2058153,51.5197539
Lux Guestlist,-0.1625215,51.5191119
The Mayan,-118.2591999,34.0405483
Club Bahia,-118.2498753,34.0663088
Los Globos,-118.2743448,34.0839003
Los Angeles Club Crawl,-118.2528925,34.0451292
Exchange LA,-118.2513164,34.0453777
Panamerican Night Club (Oficial),-118.2749667,34.0726952
Mayan Theater,-118.2586837,34.0405971
Downtown LA Club Crawl,-118.2633476,34.0429319
The Reserve,-118.2519124,34.0447027
Aerial Nightclub,-118.2662099,34.032065
Arena Ktown,-118.2948845,34.0620233
The Marke,-118.2726394,34.0191519
Precinct DTLA,-118.2493321,34.0498149
The New Jalisco Bar,-118.2454215,34.0502685
Club LA,-118.2480196,34.0486119
LA 5 STAR CLUB CRAWL,-118.2884635,34.0938176
Treehouse Rooftop Lounge,-118.237726,34.05955
LA Grand Club Inc,-118.2614677,34.0419185
801 Hill Nightclub,-118.2560652,34.0443944
my house,-118.2436849,34.0522342
Masala Art,-71.2365133,42.28010769999999
Three Squares Craft Kitchen & Cocktails,-71.2318617,42.29901040000001
JCC Greater Boston | Leventhal-Sidman JCC,-71.2043066,42.2994774
Privé Ultralounge,-113.5127201,53.5449652
Star nightclub,-113.5087099,53.54959179999999
Y AfterHours,-113.4957871,53.5397304
Cook County Saloon,-113.4950152,53.5165683
Chez Pierre Cabaret,-113.5012759,53.53992599999999
Commercial Hotel-Blues On Whyte Pub,-113.4959343,53.5179284
Yo ammas Clothes M,-113.4924571,53.5416609
Old timer's cabin,-113.4863688,53.5320309
Alibi Ultra Lounge,-113.4907319,53.541565
Evolution Wonderlounge,-113.4976335,53.5431694
Shade Gentlemen's Club,-113.5014963,53.5420177
Avenue Downtown,-113.5081363,53.5410986
99ten,-113.5087061,53.5375855
Eden Exotic Ent.,-113.4924993,53.5911488
O2's West,-113.591041,53.558103
Hayat Lounge,-113.5013172,53.5178497
The Billiard Club,-113.500701,53.517781
Connect Ultra Lounge,-113.5078445,53.5517876
H2O Lounge,-113.4901906,53.51840559999999
Mist Lounge,-113.496962,53.517877
Ferryhill Station Working Mens Club & Institute Ltd,-1.5406942,54.6831249
K.G.H. Private Club,-1.6054322,54.6972284
Fox Cub Spennymoor,-1.5692685,54.7048395
The Moors Tavern,-1.5994835,54.7021005
Spennymoor W M C,-1.5983314,54.7009372
Byers Green Working Mens Club,-1.654649,54.702241
Slavianskii Dom,-122.1653139,37.4185512
Bar in Zell am See,-122.1520042,37.416033
The Guild Theatre,-122.1812125,37.4524406
Menlo Park,-122.1840451,37.4502027
The Patio,-122.163868,37.4452193
Willis Lounge,-122.1587958,37.4211789
Calave,-122.143672,37.42746899999999
Fairclough Lounge,-122.1599885,37.4224104
Mandarin Roots,-122.13603,37.420276
Nola,-122.1613454,37.44503270000001
Scotty's Bar & Grill,-122.1619465,37.4439958
Tresidder Oak Lounge,-122.1710892,37.42456689999999
SliderBar Restaurant,-122.160984,37.446152
Antonio's Nut House,-122.1439693,37.4271149
[ESC],-122.1427593,37.4605555
Fuki Sushi,-122.1258056,37.4138709
Reposado,-122.1609435,37.4441504
Fleming’s Prime Steakhouse & Wine Bar,-122.1703059,37.4445671
The Old Pro,-122.1612954,37.4448897
Play Bar Night Club Waikiki,-157.8256535,21.2794118
Club Mermaid,-157.8302684,21.2816545
Hawaii By Night Gentlemen's Club,-157.8282196,21.2801123
SKY Waikiki,-157.8280296,21.278666
Addiction,-157.8391867,21.2849527
RumFire,-157.8302186,21.2771047
Ballarrinas Gentlemen's Club 18+,-157.8365368,21.2910604
Hula’s Bar and Lei Stand,-157.8217364,21.271826
Tapa's Restaurant & Lanai Bar,-157.8266801,21.2803697
Club Femme Nu,-157.8383958,21.2907435
Paradise Lounge,-157.8361509,21.2839491
Pupule Lounge,-157.8258444,21.2939251
R Bar & Lounge,-157.8326831,21.2867752
Chiko’s Tavern,-157.830506,21.294454
Wang Chung's Karaoke Bar,-157.824518,21.276251
In Between,-157.8296914,21.2807243
Spot Karaoke,-157.8381164,21.2853305
G S Studios,-157.8293479,21.2807186
The Veranda,-157.773651,21.271847
Maggir Herron Lewer's Lounge,-157.831808,21.2772604
Temple Nightclub Denver,-104.987007,39.73445
The Church Nightclub,-104.9857406,39.7349663
Beta Nightclub,-104.9955038,39.7537669
Tracks,-104.9744907,39.7677892
Charlie's Nightclub Denver,-104.9762972,39.739857
Milk,-104.9880659,39.7328271
Club Vinyl,-104.9871439,39.73354459999999
Marisela's Night Club,-105.0062358,39.7707537
Lit Nightclub,-105.00018,39.748104
La Rumba,-104.988586,39.730595
Onyx ultra lounge,-104.9978529,39.7456387
El Diamante Club,-105.0282614,39.7112814
Phoenix Event Center,-105.0543583,39.7265964
Truth lounge,-105.0002014,39.7480235
Dorchester Social,-104.999707,39.748614
Terreno Macizo,-105.001304,39.7822052
Denver Halloween Party - Naughty Ball 2019,-104.9943851,39.7404096
The Hive Nightclub,-104.986502,39.734142
Bar Standard,-104.987608,39.732859
Nativ Lounge and Nightclub,-104.9858782,39.7350457
End Night Club,18.0700945,59.32997429999999
Café Opera,18.0707988,59.32966640000001
Solidaritet,18.0717636,59.3354823
Sturecompagniet,18.0734748,59.3364025
nightclub VIDA,18.0764335,59.333913
Estelle,18.0632759,59.3363544
Stockholm Pub Crawl,18.0719551,59.322565
Sense Stockholm,18.032429,59.33382520000001
Spy Bar,18.0721469,59.33651889999999
Huset Under Bron,18.0784837,59.30450069999999
Cosmopolitan Club,18.0610058,59.3411965
After Café bar & kök,18.071976,59.322655
Marquise Club,18.064192,59.3336921
LE!,18.0742012,59.332076
Fou Club,18.0751959,59.33310350000001
wonderful bar,18.076473,59.314857
The Color Farm,18.0927141,59.30758899999999
L8,18.0706941,59.33551840000001
Rose Club,18.0751959,59.33310350000001
Porslinsfabriken,18.0289296,59.34064559999999
Amorama Latin Night Club,-82.71437569999999,27.8946545
los dos plebes nightclub,-82.7294941,27.8997629
Waterin Trough,-82.728071,27.884118
Quench Lounge,-82.73042370000002,27.8924947
Babydolls Lounge,-82.7212217,27.8930297
VaPOUR Vape Kratom Kava,-82.6869632,27.8943955
Atlantis Gentlemens Club,-82.729851,27.877548
Gasoline Alley Cafe,-82.72949580000001,27.8996846
Oz Gentlemen's Club,-82.72267939999999,27.8952494
Big Storm Brewing Co.,-82.6996197,27.8874778
24K Gold Club,-82.7299072,27.9243495
Quality Inn & Suites St. Petersburg - Clearwater Airport,-82.683421,27.895714
The WingHouse of Largo,-82.7399968,27.8945708
Le Palace Clearwater 👑,-82.7197606,27.8888503
Angels Nude,-82.727594,27.903037
Retroclubnyc,-73.98880079999999,40.7582948
Doha Nightclub NYC,-73.933011,40.753056
Le Bain,-74.0079698,40.7408249
Rumpus Room,-73.9897503,40.72292789999999
TAO Downtown Nightclub,-74.00410769999999,40.7422842
Marquee New York,-74.0028169,40.7500242
1 OAK,-74.0062324,40.7439224
Vandal Nightclub,-73.9934553,40.7212007
Avenue,-74.0064306,40.744093
The Pyramid Club,-73.9839495,40.7258183
The Monster,-74.0021091,40.7334189
La Boom,-73.9042386,40.7539728
Langston Night Club,-73.9558323,40.6795206
The Social Butterfly,-73.9650147,40.6814977
Groove,-74.0002232,40.7305855
Mission NYC,-73.99474219999999,40.7480006
GoldBar,-73.99711769999999,40.72037479999999
PHD Lounge,-74.00347909999999,40.7423311
Quantum,-73.99549139999999,40.6695845
Deseos Night Club,-73.91181329999999,40.7445347
Retroclubnyc,-73.98880079999999,40.7582948
Lavo Nightclub,-73.97143009999999,40.7629192
TAO Downtown Nightclub,-74.00410769999999,40.7422842
Le Bain,-74.0079698,40.7408249
Doha Nightclub NYC,-73.933011,40.753056
Elevate Nightclub,-73.9964672,40.7597954
Marquee New York,-74.0028169,40.7500242
Rumpus Room,-73.9897503,40.72292789999999
